timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1781214264.626,0.000,109.6,86.56,0,0,78,0.6,0.4,111.1,86.56,0,0,63,0.6,2.1,107.0,86.56,0,0,73,2.7,0.5,113.3,86.60,0,0,67,0.6,0.4,0.0,1,0
1781214265.066,0.440,97.7,86.56,0,0,78,0.6,0.5,98.9,86.56,0,0,63,2.2,0.4,94.2,86.56,0,0,73,2.3,0.4,100.6,86.60,0,0,66,6.5,0.4,0.0,1,0
1781214265.510,0.885,95.3,86.56,0,0,78,4.5,0.6,93.6,86.56,0,0,63,0.6,0.4,94.2,86.56,0,0,73,0.6,0.4,100.6,86.60,0,0,66,0.6,0.6,0.0,1,0
1781214265.955,1.329,95.3,86.56,0,0,78,0.6,0.4,93.6,86.56,0,0,63,2.3,0.4,90.5,86.56,0,0,73,2.3,0.4,96.2,86.60,0,0,66,0.6,0.4,0.0,1,0
1781214266.395,1.769,90.2,86.56,0,0,78,0.6,0.4,88.9,86.56,0,0,63,2.7,0.7,90.5,86.56,0,0,73,2.7,3.8,96.2,86.60,0,0,66,6.2,0.5,0.0,1,0
1781214266.837,2.211,90.2,86.56,0,0,78,2.3,0.5,88.9,86.56,0,0,63,0.7,0.5,90.5,86.56,0,0,73,0.6,0.5,96.2,86.60,0,0,66,1.5,0.4,0.0,1,0
1781214267.276,2.650,90.2,86.56,0,0,78,0.6,0.5,87.0,86.56,0,0,63,0.6,0.5,90.3,86.56,0,0,73,0.6,0.4,94.1,86.60,0,0,66,0.6,0.5,0.0,1,0
1781214267.714,3.088,88.8,86.56,0,0,78,3.4,2.3,87.0,86.56,0,0,63,2.9,1.9,90.3,86.56,0,0,73,2.7,2.3,94.1,86.60,0,0,66,2.7,2.0,0.0,1,0
1781214268.159,3.534,88.8,86.56,0,0,78,0.6,0.5,87.0,86.56,0,0,63,3.7,0.4,90.2,86.56,0,0,73,2.3,0.5,91.9,86.60,0,0,66,0.6,0.5,0.0,1,0
1781214268.597,3.972,87.0,86.56,0,0,78,0.6,0.5,85.1,86.56,0,0,63,0.6,0.4,90.2,86.56,0,0,73,0.6,2.2,91.9,86.60,0,0,66,4.4,0.4,0.0,1,0
1781214269.038,4.412,87.0,86.56,0,0,78,2.2,0.4,85.1,86.56,0,0,63,0.6,0.5,90.1,86.56,0,0,73,0.6,0.5,91.5,86.60,0,0,66,0.6,0.4,0.0,1,0
1781214269.478,4.852,87.0,86.56,0,0,78,4.9,2.8,84.8,86.56,0,0,63,2.5,0.4,90.1,86.56,0,0,73,0.7,0.4,91.5,86.60,0,0,66,2.3,0.4,0.0,1,0
1781214269.922,5.296,87.0,86.56,0,0,78,0.6,0.5,84.8,86.56,0,0,63,0.6,0.4,90.1,86.56,0,0,73,0.6,0.4,91.1,86.60,0,0,66,0.6,0.5,0.0,1,0
1781214270.363,5.737,87.0,86.56,0,0,78,0.6,0.4,84.8,86.56,0,0,62,2.3,0.6,90.1,86.56,0,0,73,4.3,2.5,91.1,86.60,0,0,66,0.6,3.8,0.0,1,0
1781214270.806,6.180,87.0,86.56,0,0,78,1.5,0.5,84.8,86.56,0,0,62,0.6,0.4,90.1,86.56,0,0,73,0.7,0.5,91.1,86.60,0,0,66,0.6,0.5,0.0,1,0
1781214271.245,6.619,87.0,86.56,0,0,78,2.3,0.5,84.7,86.56,0,0,62,0.6,0.5,90.0,86.56,0,0,72,0.6,0.5,91.0,86.60,0,0,66,0.6,0.4,0.0,1,0
1781214271.684,7.058,86.6,86.56,0,0,77,2.8,2.1,84.7,86.56,0,0,62,0.6,0.5,90.0,86.56,0,0,72,5.6,0.5,91.0,86.60,0,0,66,2.4,0.5,0.0,1,0
1781214272.127,7.501,86.6,86.56,0,0,77,0.6,0.5,84.7,86.56,0,0,62,0.6,0.4,89.9,86.56,0,0,72,1.3,0.4,90.9,86.60,0,0,66,0.6,0.4,0.0,1,0
1781214272.565,7.939,86.7,86.56,0,0,77,0.6,0.4,84.6,86.56,0,0,62,2.2,0.4,89.9,86.56,0,0,72,2.3,0.6,90.9,86.60,0,0,66,0.6,3.7,0.0,1,0
1781214273.002,8.376,86.7,86.56,0,0,77,0.6,0.4,84.6,86.56,0,0,62,0.6,0.4,89.8,86.56,0,0,72,0.6,0.5,90.8,86.60,0,0,65,0.6,0.5,0.0,1,0
1781214273.442,8.816,86.8,86.56,0,0,77,4.4,2.2,84.5,86.56,0,0,62,4.7,1.4,89.8,86.56,0,0,72,4.7,0.5,90.8,86.60,0,0,65,0.6,0.4,0.0,1,0
1781214273.886,9.260,86.8,86.56,0,0,77,0.6,0.4,84.5,86.56,0,0,62,0.6,0.4,89.8,86.56,0,0,72,1.5,0.4,90.9,86.60,0,0,65,2.2,0.4,0.0,1,0
1781214274.326,9.700,86.8,86.56,0,0,77,0.6,0.5,84.2,86.56,0,0,62,0.7,0.5,89.8,86.56,0,0,72,0.6,0.7,90.9,86.60,0,0,65,3.5,2.4,0.0,1,0
1781214274.780,10.154,86.8,86.56,0,0,77,0.6,0.5,84.2,86.56,0,0,62,0.6,0.4,89.8,86.56,0,0,72,0.6,0.4,90.9,86.60,0,0,65,0.7,0.5,0.0,1,0
1781214275.221,10.595,86.8,86.56,0,0,77,6.3,0.5,84.2,86.56,0,0,62,0.6,0.4,89.8,86.56,0,0,72,0.6,0.5,90.4,86.60,0,0,65,0.6,0.5,0.0,1,0
1781214275.659,11.033,86.6,86.56,0,0,77,0.6,2.2,84.2,86.56,0,0,62,3.5,1.5,89.8,86.56,0,0,72,2.3,0.5,90.4,86.60,0,0,65,0.6,0.6,0.0,1,0
1781214276.098,11.472,86.6,86.56,0,0,77,0.6,0.4,84.2,86.56,0,0,62,0.6,0.4,89.9,86.56,0,0,72,0.7,0.4,90.4,86.60,0,0,65,2.2,0.9,0.0,1,0
1781214276.537,11.911,86.7,86.56,0,0,77,2.2,0.5,84.2,86.56,0,0,62,0.6,0.4,89.9,86.56,0,0,72,0.6,0.5,90.4,86.60,0,0,65,0.6,0.7,0.0,1,0
