timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1787234068.036,0.000,27.9,62.49,0,0,65,4.7,3.2,62.5,64.35,5,2,60,4.4,1.9,22.5,62.49,0,0,63,0.6,0.5,16.6,67.48,0,0,58,0.6,0.5,0.0,0,0
1787234068.573,0.537,37.6,62.49,0,0,66,0.6,0.5,77.6,64.35,0,1,60,1.1,1.5,39.3,62.49,0,0,65,0.8,0.5,32.6,67.48,0,0,59,0.9,1.3,0.0,0,0
1787234069.013,0.976,63.0,62.49,0,0,66,6.5,2.7,89.3,64.35,0,1,60,3.0,2.7,50.1,62.49,0,0,65,2.7,0.5,61.2,67.48,0,0,59,2.3,0.5,0.0,0,0
1787234069.458,1.422,66.3,62.49,0,0,66,0.6,1.4,89.1,64.35,0,1,60,2.5,1.8,82.9,62.49,0,0,65,1.9,0.4,61.2,67.48,0,0,59,0.6,0.4,0.0,0,0
1787234069.901,1.864,66.3,62.49,0,0,66,5.6,0.6,89.2,64.35,0,1,60,1.1,1.0,82.9,62.49,0,0,65,2.3,0.8,73.9,67.48,0,0,59,4.8,3.6,0.0,0,0
1787234070.346,2.310,89.7,62.49,0,0,66,0.6,0.5,89.1,64.35,0,1,60,1.0,1.0,82.3,62.49,0,0,65,0.6,0.4,73.9,67.48,0,0,59,0.6,0.4,0.0,0,0
1787234070.787,2.750,90.1,62.49,0,0,67,0.6,0.9,89.1,64.35,0,1,60,2.7,1.0,82.4,62.49,0,0,65,0.6,0.5,74.0,67.48,0,0,59,0.6,0.5,0.0,0,0
1787234071.226,3.190,90.7,62.49,0,0,67,2.3,0.5,89.1,64.35,0,1,60,1.2,2.7,82.7,62.49,0,0,65,2.7,0.5,74.2,67.48,0,0,59,2.3,0.5,0.0,0,0
1787234071.667,3.631,90.8,62.49,0,0,67,0.6,1.4,89.1,64.35,0,1,60,2.5,1.9,82.7,62.49,0,0,65,1.9,0.5,74.2,67.48,0,0,59,1.5,0.9,0.0,0,0
1787234072.114,4.077,90.8,62.49,0,0,67,2.3,0.4,89.1,64.35,0,1,60,1.1,1.0,82.7,62.49,0,0,65,0.6,0.5,74.3,67.48,0,0,59,2.3,0.5,0.0,0,0
1787234072.554,4.518,90.8,62.49,0,0,67,1.9,0.5,89.1,64.35,0,1,60,1.1,1.1,82.2,62.49,0,0,65,0.6,0.5,74.3,67.48,0,0,59,0.6,0.5,0.0,0,0
1787234072.997,4.961,90.4,62.49,0,0,67,4.7,0.9,89.1,64.35,0,1,60,6.7,1.3,82.2,62.49,0,0,65,4.3,2.1,74.4,67.48,0,0,59,0.6,0.4,0.0,0,0
1787234073.440,5.403,90.4,62.49,0,0,67,1.9,0.5,89.1,64.35,0,1,60,1.0,1.0,82.0,62.49,0,0,65,0.6,0.5,74.4,67.48,0,0,59,0.6,0.5,0.0,0,0
1787234073.879,5.843,90.4,62.49,0,0,67,0.6,0.5,89.0,64.35,0,1,60,1.1,1.0,82.0,62.49,0,0,65,0.6,4.9,74.4,67.48,0,0,59,0.6,4.7,0.0,0,0
1787234074.327,6.291,90.4,62.49,0,0,67,2.3,0.5,89.0,64.35,0,1,60,2.1,1.0,82.0,62.49,0,0,65,0.6,0.5,74.4,67.48,0,0,59,2.3,0.4,0.0,0,0
