timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1787235652.466,0.000,89.1,61.60,0,0,67,2.3,0.5,88.5,63.46,0,1,60,1.8,0.9,80.4,61.60,0,0,65,0.7,0.5,75.0,66.70,0,0,61,0.7,0.5,0.0,0,0
1787235652.958,0.492,89.8,61.60,0,0,67,1.9,0.5,88.6,63.46,0,1,60,1.2,4.4,80.9,61.60,0,0,65,4.6,0.6,75.1,66.70,0,0,61,0.6,2.2,0.0,0,0
1787235653.396,0.931,90.1,61.60,0,0,67,0.6,0.4,88.6,63.46,0,1,60,1.1,1.1,81.1,61.60,0,0,65,0.6,0.5,75.2,66.70,0,0,61,0.6,0.9,0.0,0,0
1787235653.833,1.368,90.1,61.60,0,0,67,0.6,0.4,88.6,63.46,0,1,60,2.8,1.0,81.1,61.60,0,0,65,3.1,0.5,75.2,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235654.271,1.805,90.1,61.60,0,0,67,4.4,1.2,88.6,63.46,0,1,60,2.5,0.9,81.1,61.60,0,0,65,0.6,1.3,74.8,66.70,0,0,61,1.9,1.3,0.0,0,0
1787235654.709,2.243,90.5,61.60,0,0,67,0.6,0.4,88.8,63.46,0,1,60,1.1,0.9,80.6,61.60,0,0,65,0.6,0.5,74.8,66.70,0,0,61,1.5,0.5,0.0,0,0
1787235655.146,2.681,90.5,61.60,0,0,67,0.6,1.4,88.9,63.46,0,1,60,2.3,1.9,80.5,61.60,0,0,65,1.8,0.4,74.8,66.70,0,0,61,2.2,2.1,0.0,0,0
1787235655.588,3.123,90.7,61.60,0,0,67,2.8,2.1,88.8,63.46,0,1,60,2.5,2.8,80.5,61.60,0,0,65,2.7,2.0,74.9,66.70,0,0,61,0.6,0.4,0.0,0,0
1787235656.027,3.561,91.2,61.60,0,0,67,4.6,2.5,88.7,63.46,0,1,60,5.9,2.7,80.5,61.60,0,0,65,2.2,0.5,75.1,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235656.467,4.001,91.2,61.60,0,0,67,0.6,0.5,88.8,63.46,0,1,60,1.1,0.9,80.6,61.60,0,0,65,1.3,0.5,75.1,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235656.901,4.436,90.8,61.60,0,0,67,0.6,0.4,88.8,63.46,0,1,60,1.2,1.0,80.6,61.60,0,0,65,0.6,0.9,74.9,66.70,0,0,61,4.8,3.5,0.0,0,0
1787235657.347,4.882,90.8,61.60,0,0,67,0.6,1.4,88.8,63.46,0,1,60,2.3,1.8,80.6,61.60,0,0,65,2.9,0.4,74.9,66.70,0,0,61,2.2,0.4,0.0,0,0
1787235657.785,5.320,91.1,61.60,0,0,67,2.3,0.5,88.6,63.46,0,1,60,1.2,0.9,80.7,61.60,0,0,65,0.6,0.4,74.7,66.70,0,0,61,0.6,0.4,0.0,0,0
1787235658.235,5.770,91.1,61.60,0,0,67,1.9,1.4,88.6,63.46,0,1,60,6.0,2.7,80.7,61.60,0,0,65,2.3,2.2,74.7,66.70,0,0,61,0.7,0.5,0.0,0,0
1787235658.671,6.205,91.1,61.60,0,0,67,2.3,0.5,88.5,63.46,0,1,60,1.2,1.0,80.6,61.60,0,0,65,0.6,0.4,74.7,66.70,0,0,61,0.6,0.4,0.0,0,0
1787235659.107,6.642,91.0,61.60,0,0,67,0.6,0.4,88.5,63.46,0,1,60,1.1,0.9,80.6,61.60,0,0,65,0.6,0.7,74.8,66.70,0,0,61,5.4,0.4,0.0,0,0
1787235659.545,7.079,91.0,61.60,0,0,67,0.6,0.9,88.6,63.46,0,1,60,2.8,1.7,80.3,61.60,0,0,65,1.9,1.3,74.8,66.70,0,0,61,3.6,0.5,0.0,0,0
1787235659.983,7.517,91.1,61.60,0,0,67,2.2,3.9,88.6,63.46,0,1,60,3.9,3.5,80.3,61.60,0,0,65,0.6,3.7,75.1,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235660.425,7.960,91.1,61.60,0,0,67,2.0,1.4,88.6,63.46,0,1,60,2.4,1.6,80.5,61.60,0,0,65,2.3,0.4,75.1,66.70,0,0,61,0.6,4.4,0.0,0,0
1787235660.860,8.395,90.7,61.60,0,0,67,0.6,0.5,88.7,63.46,0,1,60,1.1,1.1,80.5,61.60,0,0,65,0.7,0.5,74.9,66.70,0,0,61,0.9,0.9,0.0,0,0
1787235661.300,8.835,90.7,61.60,0,0,67,2.7,0.5,88.9,63.46,0,1,60,1.1,0.9,80.5,61.60,0,0,65,0.6,0.5,74.9,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235661.736,9.271,90.8,61.60,0,0,67,0.7,0.4,88.9,63.46,0,1,60,2.7,1.0,80.6,61.60,0,0,65,2.4,0.5,74.9,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235662.173,9.707,90.8,61.60,0,0,67,2.3,0.5,88.8,63.46,0,1,60,1.1,0.9,80.6,61.60,0,0,65,0.6,0.7,74.9,66.70,0,0,61,4.8,0.5,0.0,0,0
1787235662.608,10.142,91.0,61.60,0,0,67,0.6,0.5,88.8,63.46,0,1,60,1.2,1.0,80.8,61.60,0,0,65,0.6,1.4,74.9,66.70,0,0,61,2.0,1.3,0.0,0,0
1787235663.044,10.578,91.2,61.60,0,0,67,4.6,2.2,88.8,63.46,0,1,60,2.7,2.0,80.8,61.60,0,0,65,0.6,0.4,75.0,66.70,0,0,61,2.3,0.4,0.0,0,0
1787235663.481,11.016,91.2,61.60,0,0,67,2.2,1.4,88.9,63.46,0,1,60,2.3,1.9,80.3,61.60,0,0,65,1.9,0.9,75.0,66.70,0,0,61,0.6,0.5,0.0,0,0
1787235663.917,11.451,90.5,61.60,0,0,67,0.6,0.5,88.9,63.46,0,1,60,1.1,1.3,80.3,61.60,0,0,65,2.3,4.0,75.0,66.70,0,0,61,4.7,0.7,0.0,0,0
1787235664.358,11.892,90.5,61.60,0,0,67,1.9,0.5,88.9,63.46,0,1,60,1.1,1.1,80.5,61.60,0,0,65,0.6,0.5,75.2,66.70,0,0,61,2.3,0.5,0.0,0,0
1787235664.795,12.330,90.6,61.60,0,0,68,0.6,6.2,88.8,63.46,0,1,60,1.0,1.0,80.5,61.60,0,0,65,0.7,0.5,75.2,66.70,0,0,61,0.6,1.4,0.0,0,0
1787235665.232,12.767,90.9,61.64,0,0,68,0.7,0.4,88.8,63.50,0,1,60,4.9,2.8,80.5,61.64,0,0,65,2.3,5.2,75.2,66.74,0,0,61,0.6,0.5,0.0,0,0
1787235665.673,13.207,90.9,61.64,0,0,68,2.3,1.5,89.0,63.50,0,1,60,2.4,2.0,80.8,61.64,0,0,65,1.9,0.4,75.2,66.74,0,0,61,0.6,0.5,0.0,0,0
1787235666.110,13.644,91.4,61.64,0,0,68,0.6,0.4,88.9,63.50,0,1,60,1.2,1.0,81.5,61.64,0,0,65,0.6,0.5,75.2,66.74,0,0,61,0.6,0.4,0.0,0,0
1787235666.546,14.080,91.7,61.64,0,0,68,0.6,0.4,88.9,63.50,0,1,60,3.4,0.9,81.6,61.64,0,0,65,0.6,0.5,75.4,66.74,0,0,61,2.2,0.4,0.0,0,0
1787235666.983,14.517,91.7,61.64,0,0,68,2.2,3.9,88.9,63.50,0,1,60,3.7,3.9,81.6,61.64,0,0,65,0.6,3.7,75.4,66.74,0,0,61,0.6,5054.2,0.0,0,0
1787235667.423,14.957,90.9,63.81,0,0,68,22823.4,16674.5,88.9,65.67,0,1,60,13808.7,19051.1,97.9,63.82,100,20,68,20132.9,27143.4,82.4,68.91,100,17,63,26495.1,37355.0,0.0,0,0
1787235667.867,15.402,125.1,63.81,100,21,71,15249.7,17747.2,120.1,65.67,100,15,63,19380.5,11877.5,125.7,63.82,100,20,69,24242.1,38549.2,114.5,68.91,100,17,65,16735.5,35338.1,0.0,0,0
1787235668.308,15.843,195.9,63.81,100,20,71,13427.2,19880.1,179.2,65.67,100,14,63,16628.0,11449.8,125.7,63.82,100,20,69,27941.1,33090.3,187.9,68.91,100,17,64,16112.0,43790.6,0.0,0,0
1787235668.750,16.284,212.0,63.81,96,32,72,380.6,524.5,206.8,65.67,100,14,65,395.3,562.0,197.9,63.82,100,21,69,386.9,548.6,190.7,68.91,99,32,65,371.9,477.4,0.0,0,0
1787235669.190,16.724,212.0,63.81,96,32,72,396.1,528.2,206.9,65.67,99,24,64,387.1,564.1,197.4,63.82,99,39,69,387.2,553.2,190.7,68.91,99,32,65,382.0,465.9,0.0,1,0
1787235669.632,17.167,216.6,63.81,99,38,72,380.5,521.3,208.6,65.67,99,24,64,390.2,574.1,198.1,63.82,99,39,70,387.1,563.4,190.1,68.91,99,32,65,342.8,435.6,0.0,1,0
1787235670.072,17.606,220.9,63.81,99,38,72,380.3,537.2,209.3,65.67,99,24,64,384.4,559.6,199.2,63.82,99,39,70,371.5,512.1,189.2,68.91,99,32,65,368.4,487.7,0.0,1,0
1787235670.515,18.049,221.9,63.81,99,38,72,381.1,527.4,209.5,65.67,99,24,64,363.9,557.2,199.6,63.82,99,39,70,387.5,553.6,189.6,68.91,99,31,66,370.6,470.5,0.0,1,0
1787235670.955,18.489,222.1,63.81,99,38,73,377.0,523.5,209.5,65.67,99,24,64,389.3,550.1,199.9,63.82,99,39,70,406.2,625.9,189.9,68.91,99,31,66,400.9,488.0,0.0,1,0
1787235671.402,18.937,222.4,63.81,99,38,73,380.8,549.1,209.9,65.67,99,24,65,398.9,578.4,200.3,63.82,99,39,71,383.4,548.7,189.9,68.91,99,31,66,370.0,446.7,0.0,1,0
1787235671.845,19.380,223.1,63.81,99,38,73,375.0,523.3,209.9,65.67,99,24,65,388.2,563.8,200.3,63.82,99,39,71,385.6,547.2,190.3,68.91,99,32,66,370.2,447.5,0.0,1,0
1787235672.284,19.818,223.8,63.81,99,38,73,360.9,508.9,210.2,65.67,99,24,65,385.1,560.7,200.8,63.82,99,39,71,382.8,551.2,190.5,68.91,99,32,66,371.0,462.0,0.0,1,0
1787235672.722,20.257,224.4,63.81,99,38,74,382.0,535.1,210.7,65.67,99,24,65,387.0,574.5,201.3,63.82,99,39,71,389.3,555.3,190.8,68.91,99,32,67,368.5,459.3,0.0,1,0
1787235673.161,20.696,224.4,63.81,99,38,74,391.8,534.4,210.8,65.67,99,24,65,388.9,565.9,201.7,63.82,99,39,71,383.5,570.4,190.8,68.91,99,32,67,369.4,443.0,0.0,1,0
1787235673.600,21.135,224.7,63.81,99,38,74,385.5,529.2,211.1,65.67,99,24,66,388.2,545.0,201.8,63.82,99,39,71,383.6,555.9,191.1,68.91,99,32,67,366.9,444.5,0.0,1,0
1787235674.039,21.573,224.9,63.81,99,38,74,401.5,617.0,211.4,65.67,99,24,66,439.7,565.5,201.9,63.82,99,39,72,391.1,582.2,191.3,68.91,99,32,67,369.4,466.1,0.0,1,0
1787235674.489,22.024,225.2,63.81,99,38,74,382.5,524.0,211.8,65.67,99,24,66,385.1,548.4,202.1,63.82,99,39,72,387.2,547.5,191.4,68.91,99,32,67,365.7,442.6,0.0,1,0
1787235674.929,22.463,225.8,63.81,99,38,74,386.3,541.4,211.8,65.67,99,24,66,390.3,565.6,202.4,63.82,99,39,72,387.0,649.1,191.5,68.91,99,32,67,417.5,517.0,0.0,1,0
1787235675.378,22.913,226.3,63.81,99,38,75,388.2,617.3,212.1,65.67,99,24,66,390.8,565.1,202.8,63.82,99,39,72,364.3,578.1,191.8,68.91,99,32,67,437.0,555.8,0.0,1,0
1787235675.821,23.356,226.5,63.81,99,38,75,382.5,533.7,212.4,65.67,99,24,66,389.0,569.8,202.8,63.82,99,39,72,385.5,524.4,192.1,68.91,99,32,68,373.4,507.9,0.0,1,0
