timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1787237039.009,0.000,31.0,62.21,0,0,65,3.9,5.8,58.0,64.07,0,1,58,2.0,2.8,25.7,62.21,0,0,63,2.5,1.8,17.0,62.21,0,0,57,2.0,4.2,0.0,0,0
1787237039.669,0.660,31.0,62.21,0,0,65,2.1,4.3,57.9,64.07,0,1,58,1.2,1.1,22.9,62.21,0,0,63,3.9,8.7,18.3,62.21,0,0,56,10.0,1.5,0.0,0,0
1787237040.143,1.135,28.8,62.21,0,0,65,2.1,5.2,58.0,64.07,0,1,58,1.2,2.1,22.9,62.21,0,0,63,3.5,2.1,18.3,62.21,0,0,56,4.7,2.6,0.0,0,0
1787237040.629,1.620,28.8,62.21,0,0,65,2.1,2.1,58.1,64.07,0,1,58,1.2,1.0,22.1,62.21,0,0,63,2.1,1.5,16.1,62.21,0,0,56,3.7,1.4,0.0,0,0
1787237041.093,2.084,28.4,62.21,0,0,65,4.4,5.0,58.1,64.07,0,1,58,3.7,1.2,22.1,62.21,0,0,63,5.5,1.7,16.1,62.21,0,0,56,3.7,3.6,0.0,0,0
1787237041.600,2.592,28.4,62.21,0,0,65,3.7,1.4,58.1,64.07,0,1,58,1.9,1.0,22.1,62.21,0,0,63,2.3,1.3,15.9,62.21,0,0,56,1.9,2.8,0.0,0,0
1787237042.067,3.059,28.1,62.21,0,0,65,2.8,4.8,57.8,64.07,0,1,58,1.1,2.9,21.9,62.21,0,0,63,8.6,1.7,15.9,62.21,0,0,56,6.3,4.5,0.0,0,0
1787237042.566,3.558,28.1,62.21,0,0,65,2.0,2.7,57.8,64.07,0,1,58,1.1,2.0,21.9,62.21,0,0,63,3.5,3.5,15.9,62.21,0,0,56,3.1,1.5,0.0,0,0
1787237043.027,4.019,28.3,62.21,0,0,65,5.4,1.4,57.8,64.07,0,1,58,3.8,2.8,22.4,62.21,0,0,63,6.2,5.3,15.9,62.21,0,0,56,3.4,1.5,0.0,0,0
1787237043.538,4.529,28.3,62.21,0,0,65,4.9,1.5,57.8,64.07,0,1,58,3.8,1.0,22.4,62.21,0,0,63,2.1,1.5,16.0,62.21,0,0,56,1.8,3.5,0.0,0,0
