timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1787238480.110,0.000,97.8,62.29,0,0,72,0.6,0.4,89.7,64.15,0,1,61,1.1,4.5,83.8,62.29,0,0,69,0.6,1.4,75.3,62.29,0,0,61,3.9,3.0,0.0,0,0
1787238480.652,0.542,97.8,62.29,0,0,72,0.6,0.5,89.8,64.15,0,1,61,2.1,1.0,83.4,62.29,0,0,69,2.2,0.4,75.3,62.29,0,0,61,1.6,0.4,0.0,0,0
1787238481.091,0.981,97.9,62.29,0,0,72,1.9,3.0,89.9,64.15,0,1,61,2.4,1.1,83.4,62.29,0,0,69,0.6,0.5,75.3,62.29,0,0,61,1.2,0.4,0.0,0,0
1787238481.531,1.421,97.9,62.29,0,0,72,0.6,0.4,89.8,64.15,0,1,61,1.1,1.1,83.8,62.29,0,0,69,0.6,0.5,75.2,62.29,0,0,61,2.3,0.4,0.0,0,0
1787238481.970,1.861,97.7,62.29,0,0,72,1.9,0.5,89.7,64.15,0,1,61,5.1,1.3,83.8,62.29,0,0,69,4.5,2.2,75.2,62.29,0,0,61,2.7,0.5,0.0,0,0
1787238482.412,2.302,97.7,62.29,0,0,72,2.3,0.4,89.7,64.15,0,1,61,2.8,0.9,83.8,62.29,0,0,69,0.6,0.5,74.8,62.29,0,0,61,0.6,0.5,0.0,0,0
1787238482.855,2.745,97.7,62.29,0,0,72,1.3,0.4,89.7,64.15,0,1,61,1.2,0.9,83.8,62.29,0,0,69,0.6,0.4,74.8,62.29,0,0,61,0.6,0.8,0.0,0,0
1787238483.297,3.187,97.7,62.29,0,0,72,6.2,3.8,89.7,64.15,0,1,61,3.2,2.5,83.8,62.29,0,0,69,2.8,3.3,74.8,62.29,0,0,61,4.0,2.9,0.0,0,0
1787238483.736,3.627,97.7,62.29,0,0,72,0.6,0.4,89.7,64.15,0,1,61,1.0,1.7,83.6,62.29,0,0,69,2.2,0.6,74.8,62.29,0,0,61,2.3,0.4,0.0,0,0
1787238484.180,4.071,97.7,62.29,0,0,72,0.7,0.5,89.6,64.15,0,1,61,1.7,1.0,83.6,62.29,0,0,69,0.8,3.2,74.9,62.29,0,0,61,6.2,1.4,0.0,0,0
1787238484.621,4.512,97.7,62.29,0,0,72,0.7,0.5,89.6,64.15,0,1,61,2.9,1.0,72.4,62.29,0,0,68,0.9,0.6,74.9,62.29,0,0,61,0.6,0.5,0.0,0,0
1787238485.062,4.952,86.4,62.29,0,0,71,3.6,1.6,85.7,64.15,0,1,61,8.3,2.2,72.4,62.29,0,0,68,2.1,1.6,74.9,62.29,0,0,61,2.7,0.5,0.0,0,0
1787238485.518,5.409,86.4,62.29,0,0,71,0.9,0.7,70.3,64.15,0,1,60,2.8,1.1,33.6,62.29,0,0,68,0.7,0.6,67.3,62.29,0,0,61,0.7,0.7,0.0,0,0
1787238485.964,5.854,61.4,62.29,0,0,70,0.8,0.6,61.8,64.15,0,1,60,2.9,5.0,32.6,62.29,0,0,67,6.1,3.7,67.3,62.29,0,0,61,5.0,2.3,0.0,0,0
1787238486.415,6.306,35.7,62.29,0,0,70,2.3,0.5,61.2,64.15,0,1,60,2.8,1.0,29.5,62.29,0,0,67,1.7,1.4,22.1,62.29,0,0,60,0.8,0.5,0.0,0,0
1787238486.866,6.756,35.2,62.29,0,0,70,3.4,1.9,61.2,64.15,0,1,60,1.2,1.0,29.5,62.29,0,0,67,1.7,1.5,22.8,62.29,0,0,60,0.8,0.7,0.0,0,0
1787238487.327,7.217,35.0,62.29,0,0,70,6.4,1.6,59.0,64.15,0,1,60,1.2,1.1,24.3,62.29,0,0,67,3.2,1.5,22.4,62.29,0,0,60,3.6,1.3,0.0,0,0
1787238487.798,7.689,35.0,62.29,0,0,70,2.1,1.5,59.5,64.15,0,1,60,1.2,1.0,24.3,62.29,0,0,67,3.2,1.5,22.4,62.29,0,0,60,1.7,1.4,0.0,0,0
1787238488.268,8.158,29.9,62.29,0,0,70,7.0,1.9,59.5,64.15,0,1,60,1.3,2.8,24.3,62.29,0,0,67,2.0,4.5,16.7,62.29,0,0,60,2.1,3.8,0.0,0,0
1787238488.746,8.637,29.9,62.29,0,0,70,2.1,1.5,59.5,64.15,0,1,60,1.1,1.4,23.1,62.29,0,0,67,2.2,1.6,16.7,62.29,0,0,60,3.6,1.4,0.0,0,0
1787238489.217,9.107,29.4,62.29,0,1,69,1.8,8.5,60.2,64.15,0,1,60,3.5,1.2,23.1,62.29,0,0,67,4.7,1.8,16.7,62.29,0,0,60,9.0,2.3,0.0,0,0
1787238489.705,9.596,29.4,62.29,0,1,69,1.7,1.3,60.2,64.15,0,1,60,2.8,1.1,23.3,62.29,0,0,67,2.0,1.5,16.7,62.29,0,0,60,2.1,1.5,0.0,0,0
1787238490.168,10.059,29.4,62.29,0,1,69,3.1,1.5,60.1,64.15,0,1,60,1.3,1.0,23.3,62.29,0,0,67,3.8,1.6,16.6,62.29,0,0,60,1.8,8.5,0.0,0,0
1787238490.653,10.543,29.4,62.29,0,0,69,2.5,1.9,60.1,64.15,0,1,60,2.2,1.0,23.5,62.29,0,0,67,2.1,1.6,16.6,62.29,0,0,60,4.0,1.7,0.0,0,0
1787238491.117,11.008,29.4,62.29,0,0,69,3.0,5.2,60.1,64.15,0,1,60,4.0,2.1,23.5,62.29,0,0,67,2.7,1.5,16.6,62.29,0,0,60,4.7,1.9,0.0,0,0
1787238491.604,11.495,29.7,62.29,0,0,69,2.1,1.5,60.0,64.15,0,1,60,2.9,1.0,23.4,62.29,0,0,66,2.1,1.6,16.5,62.29,0,0,59,2.0,2.2,0.0,0,0
1787238492.068,11.959,29.7,62.29,0,0,69,9.0,4.1,59.9,64.15,0,1,60,3.6,1.3,23.4,62.29,0,0,66,7.1,2.0,16.5,62.29,0,0,59,2.1,1.4,0.0,0,0
1787238492.561,12.451,30.1,62.29,0,0,69,2.3,0.5,59.9,64.15,0,1,60,1.1,1.1,23.5,62.29,0,0,66,0.6,0.8,16.6,62.29,0,0,59,0.6,0.5,0.0,0,0
1787238492.996,12.886,36.5,63.75,0,0,70,5.1,1.0,66.3,65.61,0,1,60,5.2,1.0,38.5,63.75,40,15,69,4.4,2.1,24.5,63.75,0,0,60,0.7,0.5,0.0,0,0
1787238493.436,13.326,74.8,63.75,0,0,70,1.3,0.5,95.9,65.61,0,1,61,1.1,1.9,56.6,63.75,0,0,68,1.9,1.4,45.5,63.75,0,0,61,1.9,0.5,0.0,0,0
1787238493.873,13.764,111.9,63.75,0,0,70,0.7,0.5,107.8,65.61,0,1,61,1.2,1.0,98.3,63.75,0,0,68,0.6,0.5,90.0,63.75,0,0,61,2.3,0.8,0.0,0,0
1787238494.308,14.199,96.5,63.75,0,0,70,4.0,1.4,92.8,65.61,0,1,61,2.4,1.0,98.3,63.75,0,0,68,3.4,0.5,74.5,63.75,0,0,61,0.6,0.9,0.0,0,0
1787238494.744,14.634,96.5,63.75,0,0,70,0.6,0.5,92.7,65.61,0,1,61,1.1,1.0,98.3,63.75,0,0,68,0.6,0.5,74.4,63.75,0,0,61,0.6,0.5,0.0,0,0
1787238495.179,15.070,96.5,63.75,0,0,70,1.6,0.5,92.4,65.61,0,1,61,1.1,1.0,82.5,63.75,0,0,68,0.6,2.2,74.4,63.75,0,0,61,6.4,0.4,0.0,0,0
1787238495.616,15.506,96.0,63.75,0,0,70,0.6,0.4,92.4,65.61,0,1,61,2.8,0.9,82.5,63.75,0,0,68,1.2,1.4,74.4,63.75,0,0,61,1.9,1.4,0.0,0,0
1787238496.052,15.943,96.0,63.75,0,0,70,4.3,0.7,92.4,65.61,0,1,61,3.0,1.0,82.6,63.75,0,0,68,0.6,0.4,74.3,63.75,0,0,61,0.6,0.5,0.0,0,0
1787238496.491,16.381,96.1,63.75,0,0,70,1.2,0.5,89.5,65.61,0,1,61,1.1,2.0,82.6,63.75,0,0,68,1.9,1.4,74.3,63.75,0,0,61,3.6,0.4,0.0,0,0
1787238496.927,16.818,96.1,63.75,0,0,70,0.6,0.5,89.6,65.61,0,1,61,2.8,1.0,82.6,63.75,0,0,68,0.6,4.0,74.5,63.75,0,0,61,2.7,2.2,0.0,0,0
