timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1774638520.799,0.000,116.2,85.80,0,0,85,0.5,0.5,129.1,85.49,0,0,77,0.5,0.4,111.0,85.80,0,0,84,0.5,0.5,131.2,85.83,0,0,80,0.5,0.7,0.0,0,0
1774638521.221,0.422,100.7,85.80,0,0,85,2.1,0.4,103.1,85.49,0,0,76,0.5,0.5,100.8,85.80,0,0,83,0.5,0.5,107.3,85.83,0,0,80,1.5,0.4,0.0,0,0
1774638521.644,0.846,100.7,85.80,0,0,85,0.5,0.5,103.1,85.49,0,0,76,1.5,0.4,100.8,85.80,0,0,83,1.5,0.4,107.3,85.83,0,0,80,0.5,0.4,0.0,0,0
1774638522.066,1.267,100.4,85.80,0,0,84,1.5,0.4,103.1,85.49,0,0,76,0.5,0.4,95.1,85.80,0,0,83,0.4,0.4,107.3,85.83,0,0,80,1.0,2.1,0.0,0,0
1774638522.488,1.689,100.4,85.80,0,0,84,0.4,0.4,100.3,85.49,0,0,76,0.5,0.5,95.1,85.80,0,0,83,0.5,0.4,105.6,85.83,0,0,79,0.5,0.5,0.0,0,0
1774638522.910,2.111,100.4,85.80,0,0,84,0.5,3.8,100.3,85.49,0,0,76,3.8,3.7,95.1,85.80,0,0,83,2.2,2.0,105.6,85.83,0,0,79,1.5,0.5,0.0,0,0
1774638523.332,2.533,100.1,85.80,0,0,84,0.5,0.5,97.1,85.49,0,0,75,0.5,0.5,94.8,85.80,0,0,82,1.5,0.5,103.6,85.83,0,0,79,0.5,0.5,0.0,0,0
1774638523.753,2.955,100.1,85.80,0,0,84,3.2,2.2,97.1,85.49,0,0,75,3.1,2.0,94.8,85.80,0,0,82,0.5,0.4,103.6,85.83,0,0,79,0.5,0.5,0.0,0,0
1774638524.174,3.376,99.8,85.80,0,0,83,0.5,2.2,97.1,85.49,0,0,75,2.1,0.5,93.9,85.80,0,0,82,0.5,0.5,102.9,85.83,0,0,78,0.5,0.5,0.0,0,0
1774638524.596,3.798,99.8,85.80,0,0,83,0.5,0.4,95.8,85.49,0,0,75,0.5,0.5,93.9,85.80,0,0,82,0.5,0.5,102.9,85.83,0,0,78,0.5,0.5,0.0,0,0
1774638525.017,4.219,99.6,85.80,0,0,83,2.1,0.4,95.8,85.49,0,0,75,0.5,0.5,93.9,85.80,0,0,82,0.5,0.5,102.9,85.83,0,0,78,1.5,0.5,0.0,0,0
1774638525.439,4.640,99.6,85.80,0,0,83,0.5,0.5,95.7,85.49,0,0,75,1.5,0.4,93.2,85.80,0,0,81,1.5,0.5,102.7,85.83,0,0,78,0.5,0.4,0.0,0,0
