timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1774568511.187,0.000,118.8,90.54,0,0,84,2.1,1.2,110.4,90.57,0,0,77,1.5,0.5,129.7,90.54,0,0,83,0.5,0.4,133.2,90.54,0,0,80,0.5,0.4,0.0,0,0
1774568511.610,0.424,118.8,90.54,0,0,84,1.5,0.5,110.4,90.57,0,0,77,0.5,0.5,129.7,90.54,0,0,83,0.5,0.5,133.2,90.54,0,0,80,0.4,0.5,0.0,0,0
1774568512.033,0.847,118.8,90.54,0,0,84,1.0,0.5,102.7,90.57,0,0,76,0.5,0.5,100.1,90.54,0,0,83,0.5,0.4,108.1,90.54,0,0,80,1.5,0.6,0.0,0,0
1774568512.455,1.268,100.4,90.54,0,0,83,0.5,0.4,102.7,90.57,0,0,76,1.5,0.4,100.1,90.54,0,0,83,0.5,0.5,108.1,90.54,0,0,80,0.5,0.4,0.0,0,0
1774568512.876,1.689,100.4,90.54,0,0,83,0.5,0.5,97.2,90.57,0,0,76,0.4,3.3,97.1,90.54,0,0,82,3.9,3.7,106.1,90.54,0,0,79,2.2,2.0,0.0,0,0
1774568513.309,2.122,99.8,90.54,0,0,83,1.5,0.4,97.2,90.57,0,0,76,0.5,0.4,97.1,90.54,0,0,82,0.5,0.5,106.1,90.54,0,0,79,0.5,0.5,0.0,0,0
1774568513.730,2.544,99.8,90.54,0,0,83,0.5,0.4,97.2,90.57,0,0,76,1.0,0.5,97.1,90.54,0,0,82,0.5,0.5,103.6,90.54,0,0,79,1.5,0.4,0.0,0,0
1774568514.152,2.965,99.6,90.54,0,0,82,2.1,2.0,96.8,90.57,0,0,75,3.1,2.2,93.5,90.54,0,0,82,0.5,0.5,103.6,90.54,0,0,79,1.0,0.5,0.0,0,0
1774568514.573,3.387,99.6,90.54,0,0,82,0.5,0.5,96.8,90.57,0,0,75,0.5,0.4,93.5,90.54,0,0,82,1.5,0.4,103.6,90.54,0,0,79,0.5,0.5,0.0,0,0
1774568514.994,3.808,99.6,90.54,0,0,82,1.0,0.6,96.2,90.57,0,0,75,0.5,0.4,92.8,90.54,0,0,81,0.6,0.5,103.4,90.54,0,0,78,0.5,0.5,0.0,0,0
1774568515.423,4.236,99.2,90.54,0,0,82,1.5,0.4,96.2,90.57,0,0,75,0.5,0.5,92.8,90.54,0,0,81,0.5,0.5,103.4,90.54,0,0,78,1.5,0.5,0.0,0,0
1774568515.844,4.658,99.2,90.54,0,0,82,0.5,0.5,95.3,90.57,0,0,75,1.5,0.4,92.6,90.54,0,0,81,0.5,3.9,103.0,90.54,0,0,78,3.8,0.6,0.0,0,0
1774568516.270,5.084,98.4,90.54,0,0,82,0.5,0.5,95.3,90.57,0,0,75,2.1,0.5,92.6,90.54,0,0,81,2.0,0.5,103.0,90.54,0,0,78,0.5,0.4,0.0,0,0
1774568516.691,5.505,98.4,90.54,0,0,82,0.5,0.5,95.3,90.57,0,0,75,0.5,0.4,92.6,90.54,0,0,81,0.5,0.5,102.5,90.54,0,0,78,0.5,0.4,0.0,0,0
1774568517.113,5.926,98.2,90.54,0,0,81,1.5,0.4,95.1,90.57,0,0,74,0.5,0.6,92.2,90.54,0,0,81,2.2,2.1,102.5,90.54,0,0,78,0.5,0.5,0.0,0,0
1774568517.535,6.348,98.2,90.54,0,0,81,1.0,0.5,95.1,90.57,0,0,74,0.5,0.5,92.2,90.54,0,0,81,0.5,0.5,102.5,90.54,0,0,78,1.5,0.5,0.0,0,0
1774568517.956,6.769,98.2,90.54,0,0,81,1.0,3.7,94.3,90.57,0,0,74,2.1,2.0,91.8,90.54,0,0,80,1.5,0.5,102.2,90.54,0,0,77,0.5,0.4,0.0,0,0
1774568518.393,7.207,97.2,90.54,0,0,81,0.5,0.5,94.3,90.57,0,0,74,0.5,0.4,91.8,90.54,0,0,80,0.5,0.4,102.2,90.54,0,0,77,0.5,0.4,0.0,0,0
1774568518.815,7.629,97.2,90.54,0,0,81,1.5,0.5,94.1,90.57,0,0,73,0.5,0.4,91.3,90.54,0,0,80,0.5,0.5,102.2,90.54,0,0,77,0.5,3.8,0.0,0,0
1774568519.237,8.050,96.9,90.54,0,0,81,0.5,0.5,94.1,90.57,0,0,73,1.5,0.4,91.3,90.54,0,0,80,0.5,0.4,102.2,90.54,0,0,77,0.5,0.5,0.0,0,0
1774568519.658,8.472,96.9,90.54,0,0,81,0.6,0.4,94.1,90.57,0,0,73,0.5,0.4,91.3,90.54,0,0,80,1.5,0.4,102.0,90.54,0,0,77,0.5,0.4,0.0,0,0
1774568520.080,8.894,95.5,90.54,0,0,80,0.5,0.5,93.7,90.57,0,0,73,0.5,0.4,91.0,90.54,0,0,80,0.5,0.7,102.0,90.54,0,0,77,2.2,2.0,0.0,0,0
1774568520.510,9.324,95.5,90.54,0,0,80,1.5,0.5,93.7,90.57,0,0,73,0.5,0.4,91.0,90.54,0,0,80,0.5,0.5,102.0,90.54,0,0,77,0.5,0.5,0.0,0,0
1774568520.932,9.745,95.5,90.54,0,0,80,3.8,1.4,93.5,90.57,0,0,73,4.1,2.2,90.9,90.54,0,0,79,2.1,0.5,101.7,90.54,0,0,76,0.5,0.4,0.0,0,0
1774568521.371,10.185,95.3,90.54,0,0,80,0.5,0.4,93.5,90.57,0,0,73,0.5,0.5,90.9,90.54,0,0,79,1.5,0.4,101.7,90.54,0,0,76,0.5,0.4,0.0,0,0
1774568521.793,10.606,95.3,90.54,0,0,80,0.5,0.5,93.0,90.57,0,0,72,0.5,0.4,90.5,90.54,0,0,79,0.5,0.5,101.7,90.54,0,0,76,0.5,0.9,0.0,0,0
1774568522.215,11.029,94.8,90.54,0,0,80,3.1,0.5,93.0,90.57,0,0,72,1.0,0.4,90.5,90.54,0,0,79,0.5,0.5,101.7,90.54,0,0,76,0.5,0.5,0.0,0,0
1774568522.637,11.451,94.8,90.54,0,0,80,0.5,0.5,93.0,90.57,0,0,72,1.5,0.4,90.5,90.54,0,0,79,0.5,0.5,101.7,90.54,0,0,76,1.0,0.4,0.0,0,0
1774568523.059,11.873,93.8,90.54,0,0,79,0.5,0.5,92.9,90.57,0,0,72,0.5,0.4,90.4,90.54,0,0,79,1.5,0.5,101.5,90.54,0,0,76,0.5,2.2,0.0,0,0
1774568523.491,12.305,93.8,90.54,0,0,79,0.5,0.5,92.9,90.57,0,0,72,0.5,0.4,90.4,90.54,0,0,79,0.5,0.5,101.5,90.54,0,0,76,0.5,0.5,0.0,0,0
1774568523.913,12.727,93.8,90.54,0,0,79,1.5,3.9,92.4,90.57,0,0,72,2.7,3.7,90.4,90.54,0,0,78,2.2,2.0,100.9,90.54,0,0,75,1.5,0.4,0.0,0,0
1774568524.344,13.158,92.6,90.54,0,0,79,0.5,0.4,92.4,90.57,0,0,72,1.5,0.4,90.4,90.54,0,0,78,0.5,0.5,100.9,90.54,0,0,75,0.5,0.4,0.0,0,0
1774568524.766,13.579,92.6,90.54,0,0,79,0.5,0.4,92.2,90.57,0,0,72,0.5,0.4,90.4,90.54,0,0,78,2.0,0.5,100.8,90.54,0,0,75,0.5,0.4,0.0,0,0
1774568525.187,14.001,92.3,90.54,0,0,79,2.2,1.2,92.2,90.57,0,0,72,1.6,0.4,90.3,90.54,0,0,78,0.5,0.4,100.8,90.54,0,0,75,0.5,0.4,0.0,0,0
1774568525.615,14.428,92.3,90.54,0,0,79,1.5,0.4,92.2,90.57,0,0,72,0.5,0.4,90.3,90.54,0,0,78,0.5,0.5,100.8,90.54,0,0,75,0.5,0.5,0.0,0,0
1774568526.036,14.850,92.3,90.54,0,0,79,1.0,0.4,92.1,90.57,0,0,71,0.5,0.5,90.1,90.54,0,0,78,0.6,0.5,100.8,90.54,0,0,75,1.5,0.6,0.0,0,0
1774568526.465,15.278,91.7,90.54,0,0,78,0.5,0.4,92.1,90.57,0,0,71,0.6,0.7,90.1,90.54,0,0,78,1.8,0.7,100.8,90.54,0,0,75,0.5,0.4,0.0,0,0
1774568526.890,15.703,91.7,90.54,0,0,78,0.7,0.5,74.7,90.57,0,1,70,0.6,4.9,66.9,90.54,0,0,76,0.8,4.1,100.7,90.54,0,0,75,2.8,2.5,0.0,0,0
1774568527.323,16.137,91.4,90.54,0,0,78,1.8,0.7,74.7,90.57,0,1,70,0.8,0.6,66.9,90.54,0,0,76,0.8,0.7,100.7,90.54,0,0,75,1.8,0.6,0.0,0,0
1774568527.751,16.565,91.4,90.54,0,0,78,0.8,0.7,56.0,90.57,0,6,69,1.6,0.7,66.9,90.54,0,0,76,0.6,0.7,49.5,90.54,0,0,73,0.8,0.7,0.0,0,0
1774568528.180,16.994,32.2,90.54,0,0,77,3.1,0.8,56.0,90.57,0,6,69,3.0,0.8,34.3,90.54,0,0,76,0.6,0.5,49.5,90.54,0,0,73,0.8,0.7,0.0,0,0
1774568528.609,17.423,32.2,90.54,0,0,77,0.5,0.6,56.0,90.57,0,6,69,0.6,0.5,34.3,90.54,0,0,76,0.6,0.5,49.5,90.54,0,0,73,0.6,0.5,0.0,0,0
1774568529.038,17.852,32.2,90.54,0,0,77,1.2,0.5,34.6,90.57,0,12,69,1.5,0.5,31.1,90.54,0,0,75,0.6,0.6,41.3,90.54,0,0,72,0.6,0.8,0.0,0,0
1774568529.470,18.283,27.5,90.54,0,0,76,0.6,0.5,34.6,90.57,0,12,69,0.6,0.6,31.1,90.54,0,0,75,1.6,0.5,41.3,90.54,0,0,72,0.6,0.5,0.0,0,0
1774568529.899,18.712,27.5,90.54,0,0,76,0.6,2.2,31.2,90.57,0,31,68,4.0,1.1,26.9,90.54,0,0,75,4.0,2.3,30.9,90.54,0,0,72,2.5,0.6,0.0,0,0
1774568530.331,19.145,19.5,90.54,0,0,76,1.6,0.5,31.2,90.57,0,31,68,0.6,0.6,26.9,90.54,0,0,75,0.6,0.4,30.9,90.54,0,0,72,1.6,0.5,0.0,0,0
1774568530.760,19.573,19.5,90.54,0,0,76,0.6,0.5,30.8,90.57,0,31,68,1.6,0.4,26.9,90.54,0,0,75,1.2,0.5,29.1,90.54,0,0,71,0.6,0.5,0.0,0,0
1774568531.217,20.031,18.3,90.54,0,0,75,1.2,1.4,30.8,90.57,0,31,68,1.1,0.5,27.1,90.54,0,0,74,0.6,0.5,29.1,90.54,0,0,71,1.5,0.6,0.0,0,0
1774568531.649,20.463,18.3,90.54,0,0,75,0.7,0.6,30.8,90.57,0,31,68,1.6,0.4,27.1,90.54,0,0,74,0.5,0.6,29.1,90.54,0,0,71,1.2,0.5,0.0,0,0
1774568532.079,20.892,18.6,90.54,0,0,75,0.6,0.5,30.6,90.57,0,34,67,0.6,0.5,26.4,90.54,0,0,74,1.6,0.7,28.5,90.54,0,0,71,2.3,2.1,0.0,0,0
1774568532.511,21.325,18.6,90.54,0,0,75,0.6,0.7,30.6,90.57,0,34,67,0.6,0.5,26.4,90.54,0,0,74,0.6,0.6,28.5,90.54,0,0,71,0.6,0.6,0.0,0,0
1774568532.940,21.754,18.6,90.54,0,0,75,3.4,2.3,30.5,90.57,0,34,67,3.3,3.0,26.3,90.54,0,0,74,2.3,0.6,28.2,90.54,0,0,70,0.6,0.5,0.0,0,0
1774568533.375,22.189,18.4,90.54,0,0,74,0.6,0.5,30.5,90.57,0,34,67,1.5,0.5,26.3,90.54,0,0,74,1.6,0.5,28.2,90.54,0,0,70,0.6,0.5,0.0,0,0
1774568533.804,22.618,18.4,90.54,0,0,74,0.6,0.5,30.4,90.57,0,29,66,0.5,0.5,26.4,90.54,0,0,73,0.6,0.5,27.9,90.54,0,0,70,0.6,3.8,0.0,0,0
1774568534.237,23.051,17.4,90.54,0,0,74,1.6,0.6,30.4,90.57,0,29,66,0.6,0.6,26.4,90.54,0,0,73,0.6,0.5,27.9,90.54,0,0,70,1.6,0.6,0.0,0,0
1774568534.668,23.482,17.4,90.54,0,0,74,0.6,0.5,30.4,90.57,0,29,66,0.6,0.6,26.4,90.54,0,0,73,0.6,0.6,27.7,90.54,0,0,70,0.6,0.9,0.0,0,0
1774568535.098,23.912,17.7,90.54,0,0,74,0.6,0.5,30.0,90.57,0,32,66,0.6,0.5,26.0,90.54,0,0,73,0.6,2.3,27.7,90.54,0,0,70,2.2,0.5,0.0,0,0
1774568535.530,24.344,17.7,90.54,0,0,74,1.6,0.6,30.0,90.57,0,32,66,0.6,0.5,26.0,90.54,0,0,73,0.5,0.5,27.7,90.54,0,0,70,0.6,0.6,0.0,0,0
1774568535.958,24.772,17.7,90.54,0,0,74,0.5,5.3,29.8,90.57,0,33,66,3.3,0.6,25.8,90.54,0,0,73,1.9,0.8,27.6,90.54,0,0,69,0.6,0.5,0.0,0,0
1774568536.394,25.207,17.1,90.54,0,0,74,0.6,0.6,29.8,90.57,0,33,66,1.5,0.5,25.8,90.54,0,0,73,1.6,0.5,27.6,90.54,0,0,69,0.6,0.5,0.0,0,0
1774568536.823,25.637,17.1,90.54,0,0,74,0.6,0.6,29.6,90.57,0,30,65,0.6,0.5,25.7,90.54,0,0,72,0.6,0.9,27.2,90.54,0,0,69,1.6,2.8,0.0,0,0
1774568537.257,26.071,17.1,90.54,0,0,73,0.6,0.6,29.6,90.57,0,30,65,1.6,0.5,25.7,90.54,0,0,72,0.6,0.5,27.2,90.54,0,0,69,0.6,0.5,0.0,0,0
1774568537.686,26.499,17.1,90.54,0,0,73,0.6,0.5,29.6,90.57,0,30,65,0.6,0.5,25.7,90.54,0,0,72,1.6,0.5,27.1,90.54,0,0,68,0.5,0.5,0.0,0,0
1774568538.115,26.928,17.0,90.54,0,0,73,0.6,0.6,29.6,90.57,0,35,65,0.6,0.7,26.0,90.54,0,0,72,2.4,2.1,27.1,90.54,0,0,68,0.6,0.7,0.0,0,0
1774568538.542,27.356,17.0,90.54,0,0,73,2.1,0.5,29.6,90.57,0,35,65,0.6,0.5,26.0,90.54,0,0,72,0.6,0.5,27.1,90.54,0,0,68,1.7,0.5,0.0,0,0
