timestamp,elapsed_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1777029314.725,0.000,178.2,88.23,0,0,82,0.5,0.5,163.5,88.23,0,0,82,0.5,0.4,0.0,0,0
1777029315.065,0.340,105.9,88.23,0,0,81,2.5,0.4,142.3,88.23,0,0,82,0.5,0.9,0.0,0,0
1777029315.407,0.682,105.9,88.23,0,0,81,0.5,0.4,142.3,88.23,0,0,82,1.5,0.4,0.0,0,0
1777029315.746,1.022,105.9,88.23,0,0,81,1.0,0.5,142.3,88.23,0,0,82,0.5,0.5,0.0,0,0
1777029316.086,1.361,97.5,88.23,0,0,81,0.5,0.4,113.6,88.23,0,0,81,0.5,0.9,0.0,0,0
1777029316.425,1.701,97.5,88.23,0,0,81,0.5,0.4,113.6,88.23,0,0,81,0.5,0.4,0.0,0,0
1777029316.765,2.040,91.8,88.23,0,0,80,1.5,0.5,113.6,88.23,0,0,81,1.0,0.4,0.0,0,0
1777029317.105,2.380,91.8,88.23,0,0,80,0.4,0.4,108.7,88.23,0,0,81,1.9,0.4,0.0,0,0
1777029317.446,2.722,91.8,88.23,0,0,80,0.5,0.5,108.7,88.23,0,0,81,0.5,0.4,0.0,0,0
1777029317.786,3.061,91.5,88.23,0,0,79,0.5,0.4,107.6,88.23,0,0,80,0.5,0.5,0.0,0,0
1777029318.126,3.401,91.5,88.23,0,0,79,2.1,0.6,107.6,88.23,0,0,80,6.7,2.2,0.0,0,0
1777029318.485,3.761,91.5,88.23,0,0,79,0.5,0.5,107.6,88.23,0,0,80,0.5,0.5,0.0,0,0
1777029318.825,4.100,90.9,88.23,0,0,79,0.5,0.4,107.1,88.23,0,0,79,0.5,0.4,0.0,0,0
1777029319.164,4.440,90.9,88.23,0,0,79,1.5,1.0,107.1,88.23,0,0,79,0.5,2.1,0.0,0,0
1777029319.509,4.784,90.9,88.23,0,0,79,0.5,0.5,107.1,88.23,0,0,79,1.4,0.4,0.0,0,0
1777029319.851,5.126,90.5,88.23,0,0,78,1.5,0.5,105.5,88.23,0,0,79,0.5,0.4,0.0,0,0
1777029320.190,5.465,90.5,88.23,0,0,78,0.9,1.5,105.5,88.23,0,0,79,2.2,1.9,0.0,0,0
1777029320.534,5.809,90.5,88.23,0,0,78,0.5,0.5,105.5,88.23,0,0,79,0.5,0.4,0.0,0,0
1777029320.874,6.149,90.5,88.23,0,0,78,0.5,0.5,105.1,88.23,0,0,78,0.5,0.7,0.0,0,0
1777029321.216,6.491,90.5,88.23,0,0,78,2.2,2.1,105.1,88.23,0,0,78,0.5,0.4,0.0,0,0
