timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1774853927.266,0.000,109.5,76.25,0,0,84,0.5,0.4,115.4,75.88,0,0,75,0.5,0.5,110.7,75.86,0,0,83,0.5,0.4,114.3,76.23,0,0,79,1.5,0.4,0.0,0,0
1774853927.688,0.422,109.5,76.25,0,0,84,0.5,0.4,115.4,75.88,0,0,75,1.5,0.5,110.7,75.86,0,0,83,0.5,0.4,114.3,76.23,0,0,79,0.4,0.4,0.0,0,0
1774853928.111,0.845,100.2,76.25,0,0,84,0.5,0.5,99.9,75.88,0,0,74,0.5,0.4,99.3,75.86,0,0,83,2.1,2.2,104.8,76.23,0,0,78,0.5,0.4,0.0,0,0
1774853928.532,1.266,100.2,76.25,0,0,84,1.5,0.4,99.9,75.88,0,0,74,5.3,0.5,99.3,75.86,0,0,83,1.5,0.4,104.8,76.23,0,0,78,0.5,0.5,0.0,0,0
1774853928.954,1.689,100.2,76.25,0,0,84,1.1,4.8,97.0,75.88,0,0,74,2.1,2.0,96.4,75.86,0,0,82,0.5,0.4,103.4,76.23,0,0,78,6.0,0.4,0.0,0,0
1774853929.385,2.119,99.4,76.25,0,0,83,0.5,0.4,97.0,75.88,0,0,74,1.5,0.4,96.4,75.86,0,0,82,0.5,0.4,103.4,76.23,0,0,78,0.5,0.5,0.0,0,0
1774853929.806,2.540,99.4,76.25,0,0,83,0.5,0.5,97.0,75.88,0,0,74,0.5,0.4,96.4,75.86,0,0,82,0.5,0.5,103.4,76.23,0,0,78,0.5,3.9,0.0,0,0
1774853930.228,2.962,99.2,76.25,0,0,83,3.1,0.4,93.7,75.88,0,0,73,0.5,0.4,93.0,75.86,0,0,82,1.5,0.5,101.7,76.23,0,0,77,0.5,0.4,0.0,0,0
1774853930.649,3.383,99.2,76.25,0,0,83,0.5,0.5,93.7,75.88,0,0,73,0.5,0.5,93.0,75.86,0,0,82,0.5,0.4,101.7,76.23,0,0,77,0.5,0.5,0.0,0,0
1774853931.070,3.804,99.0,76.25,0,0,82,0.5,0.9,93.4,75.88,0,0,73,0.5,0.5,92.8,75.86,0,0,81,0.5,0.5,101.6,76.23,0,0,77,1.5,3.6,0.0,0,0
1774853931.491,4.225,99.0,76.25,0,0,82,1.0,0.4,93.4,75.88,0,0,73,1.5,0.4,92.8,75.86,0,0,81,0.5,0.4,101.6,76.23,0,0,77,0.5,0.4,0.0,0,0
1774853931.912,4.647,99.0,76.25,0,0,82,0.5,3.9,93.4,75.88,0,0,73,3.2,4.6,92.8,75.86,0,0,81,2.2,2.1,101.6,76.23,0,0,77,0.5,0.5,0.0,0,0
1774853932.337,5.071,98.4,76.25,0,0,82,0.5,0.4,92.8,75.88,0,0,73,0.5,0.4,92.2,75.86,0,0,81,1.5,0.4,101.5,76.23,0,0,76,0.5,0.5,0.0,0,0
1774853932.758,5.493,98.4,76.25,0,0,82,0.5,0.4,92.8,75.88,0,0,73,0.5,0.4,92.2,75.86,0,0,81,0.5,0.4,101.5,76.23,0,0,76,1.5,0.4,0.0,0,0
1774853933.180,5.914,98.2,76.25,0,0,81,2.1,0.7,92.5,75.88,0,0,72,2.1,0.5,91.3,75.86,0,0,80,0.5,0.4,101.1,76.23,0,0,76,0.5,0.5,0.0,0,0
1774853933.601,6.335,98.2,76.25,0,0,81,0.5,0.5,92.5,75.88,0,0,72,1.5,0.4,91.3,75.86,0,0,80,0.5,0.9,101.1,76.23,0,0,76,0.5,0.4,0.0,0,0
1774853934.023,6.757,97.6,76.25,0,0,81,1.5,0.4,92.3,75.88,0,0,72,0.5,4.6,91.0,75.86,0,0,80,4.6,0.5,101.1,76.23,0,0,76,0.5,0.4,0.0,0,0
1774853934.447,7.181,97.6,76.25,0,0,81,0.5,0.4,92.3,75.88,0,0,72,0.5,0.4,91.0,75.86,0,0,80,0.5,0.5,101.1,76.23,0,0,76,0.5,0.5,0.0,0,0
1774853934.869,7.603,97.6,76.25,0,0,81,0.5,0.4,92.3,75.88,0,0,72,0.5,0.9,91.0,75.86,0,0,80,3.9,3.8,101.1,76.23,0,0,76,2.2,2.0,0.0,0,0
1774853935.298,8.032,96.8,76.25,0,0,81,0.5,0.5,92.1,75.88,0,0,72,1.5,0.5,90.9,75.86,0,0,80,0.5,0.4,100.9,76.23,0,0,75,0.5,0.4,0.0,0,0
1774853935.720,8.454,96.8,76.25,0,0,81,1.5,0.5,92.1,75.88,0,0,72,0.5,0.5,90.9,75.86,0,0,80,0.5,0.5,100.9,76.23,0,0,75,0.5,0.4,0.0,0,0
1774853936.141,8.875,96.5,76.25,0,0,80,0.5,0.4,91.9,75.88,0,0,71,0.5,2.1,90.7,75.86,0,0,79,2.1,0.5,100.7,76.23,0,0,75,0.5,0.5,0.0,0,0
1774853936.571,9.305,96.5,76.25,0,0,80,0.5,0.4,91.9,75.88,0,0,71,0.5,0.5,90.7,75.86,0,0,79,0.5,0.7,100.7,76.23,0,0,75,5.4,0.4,0.0,0,0
1774853936.996,9.730,96.5,76.25,0,0,80,1.6,0.6,91.6,75.88,0,0,71,1.5,0.4,90.6,75.86,0,0,79,0.5,0.9,100.1,76.23,0,0,75,0.5,0.4,0.0,0,0
1774853937.423,10.158,95.9,76.25,0,0,80,1.5,0.4,91.6,75.88,0,0,71,1.0,0.4,90.6,75.86,0,0,79,2.5,0.5,100.1,76.23,0,0,75,1.0,0.4,0.0,0,0
1774853937.846,10.580,95.9,76.25,0,0,80,0.5,0.4,91.6,75.88,0,0,71,0.5,0.4,90.6,75.86,0,0,79,0.5,3.9,100.1,76.23,0,0,75,3.7,0.6,0.0,0,0
1774853938.269,11.004,95.1,76.25,0,0,80,0.5,0.4,91.2,75.88,0,0,70,0.5,0.5,90.5,75.86,0,0,79,0.5,0.5,99.9,76.23,0,0,74,1.5,0.4,0.0,0,0
1774853938.691,11.425,95.1,76.25,0,0,80,0.5,0.7,91.2,75.88,0,0,70,1.5,0.4,90.5,75.86,0,0,79,0.5,0.4,99.9,76.23,0,0,74,0.5,0.5,0.0,0,0
1774853939.114,11.848,94.6,76.25,0,0,80,6.1,0.4,90.7,75.88,0,0,70,0.5,0.6,90.2,75.86,0,0,78,2.2,2.2,99.7,76.23,0,0,74,0.5,0.4,0.0,0,0
1774853939.536,12.270,94.6,76.25,0,0,80,0.5,0.4,90.7,75.88,0,0,70,0.5,0.4,90.2,75.86,0,0,78,1.5,0.5,99.7,76.23,0,0,74,0.5,0.5,0.0,0,0
1774853939.957,12.691,94.6,76.25,0,0,80,1.0,3.9,90.6,75.88,0,0,70,2.2,2.0,90.2,75.86,0,0,78,0.5,0.5,99.1,76.23,0,0,74,1.5,0.4,0.0,0,0
1774853940.382,13.116,93.7,76.25,0,0,79,0.5,0.4,90.6,75.88,0,0,70,0.5,0.5,90.2,75.86,0,0,78,0.5,0.4,99.1,76.23,0,0,74,0.5,2890.1,0.0,0,0
1774853940.807,13.541,93.7,76.25,0,0,79,20542.4,16887.6,90.6,75.88,0,0,70,20839.9,16122.4,90.2,75.86,0,0,78,20417.7,16879.6,99.0,76.23,0,0,73,20894.7,16346.4,2.4,4,0
1774853941.239,13.973,132.8,76.25,98,18,81,20026.6,16230.9,128.9,75.88,100,19,72,19072.2,16742.9,131.6,75.86,98,18,81,19063.2,17213.1,138.6,76.23,98,16,76,20756.4,17205.7,2.4,4,0
1774853941.670,14.404,152.7,76.25,99,35,82,1527.3,2393.7,150.0,75.88,99,28,72,1669.2,2761.3,152.3,75.86,99,35,80,1628.5,2671.5,158.5,76.23,99,33,76,1586.6,2655.0,2.4,4,0
1774853942.097,14.831,212.3,76.25,99,43,82,1657.4,2429.3,212.2,75.88,99,44,72,1721.3,2594.7,211.4,75.86,99,41,81,1693.6,2740.6,219.5,76.23,99,38,76,1591.8,2610.6,3.0,4,0
1774853942.521,15.255,228.2,76.25,99,44,82,1611.7,2664.2,229.8,75.88,99,43,72,1779.0,3398.1,230.2,75.86,99,41,81,1793.9,3703.7,242.6,76.23,99,39,77,1703.5,2985.1,3.0,4,0
1774853942.946,15.680,228.2,76.25,99,44,82,1758.3,4057.2,235.2,75.88,99,45,73,1673.0,3159.0,231.5,75.86,99,41,81,1742.6,3738.8,244.3,76.23,99,39,77,1688.0,3428.0,3.0,4,0
1774853943.378,16.112,229.7,76.25,99,43,82,1596.0,2795.6,235.2,75.88,99,45,73,1760.1,3649.5,231.5,75.86,99,41,81,1835.4,3418.7,244.3,76.23,99,39,77,1659.6,3660.1,3.0,4,0
1774853943.801,16.536,231.6,76.25,99,44,83,1748.7,3673.3,237.3,75.88,99,44,73,1705.6,3885.6,232.4,75.86,99,41,81,1734.0,3658.6,245.2,76.23,99,39,77,1952.1,3535.1,3.0,4,0
1774853944.230,16.964,231.9,76.25,99,43,83,1603.8,3177.9,238.0,75.88,99,45,73,1733.3,4082.8,233.1,75.86,99,41,81,1824.4,3992.1,245.2,76.23,99,38,77,1720.8,3401.1,3.0,4,0
1774853944.659,17.393,232.6,76.25,99,44,83,1531.5,2964.4,238.0,75.88,99,44,73,1857.9,3992.1,233.3,75.86,99,42,81,1723.0,3731.8,245.8,76.23,99,39,77,2001.0,3935.4,3.0,4,0
1774853945.086,17.820,233.6,76.25,99,44,83,1665.4,3107.7,237.9,75.88,99,44,73,1877.0,4091.9,233.9,75.86,99,41,82,1769.8,3474.6,245.2,76.23,99,39,77,1741.1,3713.5,3.0,4,0
1774853945.512,18.246,234.4,76.25,99,44,83,1594.9,3286.1,238.1,75.88,99,44,73,1795.2,4030.2,234.1,75.86,99,41,82,1821.0,3739.0,244.8,76.23,99,38,77,1833.9,3612.6,3.0,4,0
1774853945.936,18.670,234.4,76.25,99,44,83,1651.5,3379.8,238.1,75.88,99,44,73,1799.0,4009.9,234.1,75.86,99,41,82,1814.0,4274.4,245.3,76.23,99,38,77,1687.5,3738.5,3.0,4,0
1774853946.362,19.097,235.0,76.25,99,44,83,1564.0,3558.3,238.1,75.88,99,44,73,1690.4,3507.1,233.9,75.86,99,41,82,1769.3,4181.4,245.3,76.23,99,38,77,1855.4,3920.2,3.0,4,0
1774853946.786,19.520,234.8,76.25,99,43,83,1672.1,3444.6,238.2,75.88,99,45,73,1825.0,3783.0,234.3,75.86,99,41,82,1773.4,3660.4,245.7,76.23,99,39,77,1685.6,3810.9,3.0,4,0
1774853947.215,19.949,234.3,76.25,99,43,83,1593.0,3834.6,239.6,75.88,99,44,73,1746.6,3952.2,235.2,75.86,99,42,82,1745.1,4257.8,246.6,76.23,99,39,77,1735.6,3841.5,3.0,4,0
1774853947.639,20.373,234.2,76.25,99,44,83,1640.6,3289.8,239.5,75.88,99,44,73,1804.3,3827.7,234.8,75.86,99,41,82,1712.7,3854.0,246.6,76.23,99,38,77,1721.7,3791.5,3.0,4,0
1774853948.065,20.799,233.8,76.25,99,43,83,1631.5,3377.6,239.2,75.88,99,44,73,1703.8,3966.0,234.2,75.86,99,41,82,1864.4,4113.7,246.8,76.23,99,38,77,1792.3,3759.7,3.0,4,0
1774853948.491,21.225,233.8,76.25,99,43,83,1692.4,3090.0,239.7,75.88,99,44,74,1838.1,3895.4,234.2,75.86,99,41,82,1743.6,4175.2,246.6,76.23,99,39,77,1715.7,3252.8,3.0,4,0
1774853948.916,21.650,233.8,76.25,99,43,83,1718.6,3690.8,239.7,75.88,99,44,74,1844.0,4120.1,234.2,75.86,99,41,82,1830.5,4122.9,246.6,76.23,99,39,77,1657.2,3636.7,3.0,4,0
1774853949.345,22.080,234.1,76.25,99,44,83,1651.9,3828.6,239.2,75.88,99,45,73,1710.5,3863.2,235.2,75.86,99,41,82,1937.5,4574.6,246.7,76.23,99,39,78,1663.0,2899.6,3.0,4,0
1774853949.770,22.504,234.5,76.25,99,43,84,1650.6,2911.4,239.1,75.88,99,44,74,1747.0,3938.8,235.7,75.86,99,41,82,1805.1,3528.9,247.1,76.23,99,39,78,1708.2,3567.5,3.0,4,0
1774853950.196,22.931,234.6,76.25,99,44,84,1700.4,3156.3,240.0,75.88,99,44,74,1792.0,3612.7,235.7,75.86,99,41,82,1840.8,4018.5,247.0,76.23,99,39,78,1757.8,3855.5,3.0,4,0
1774853950.621,23.355,234.4,76.25,99,44,84,1635.6,3409.0,240.0,75.88,99,44,74,1655.7,3511.6,235.1,75.86,99,42,82,1723.7,3426.9,246.7,76.23,99,39,78,1721.5,3657.5,3.0,4,0
1774853951.045,23.779,234.7,76.25,99,44,84,1711.4,3695.6,240.2,75.88,99,44,74,1741.4,3711.0,235.1,75.86,99,41,83,1716.1,3849.1,246.4,76.23,99,39,78,1732.6,3678.3,3.0,4,0
1774853951.470,24.204,234.7,76.25,99,44,84,1627.1,3273.4,240.0,75.88,99,44,74,1682.5,3764.7,235.8,75.86,99,42,83,1785.5,3641.1,246.8,76.23,99,39,78,1723.3,3509.0,3.0,4,0
