timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1774877963.494,0.000,115.0,92.23,0,0,86,0.5,0.4,124.4,91.41,0,0,76,0.5,0.4,142.8,91.55,0,0,84,1.5,0.4,108.3,92.20,0,0,80,0.5,0.4,0.0,0,0
1774877963.916,0.422,115.0,92.23,0,0,86,0.5,3.9,109.7,91.41,0,0,76,2.7,3.6,117.3,91.55,0,0,84,2.2,1.9,108.3,92.20,0,0,80,0.5,0.5,0.0,0,0
1774877964.352,0.858,101.1,92.23,0,0,86,0.5,0.5,109.7,91.41,0,0,76,0.5,0.5,117.3,91.55,0,0,84,0.5,0.4,105.3,92.20,0,0,79,1.5,0.4,0.0,0,0
1774877964.773,1.279,101.1,92.23,0,0,86,1.5,0.5,101.4,91.41,0,0,75,1.5,0.4,101.1,91.55,0,0,83,0.5,0.5,105.3,92.20,0,0,79,0.5,0.5,0.0,0,0
1774877965.195,1.701,101.1,92.23,0,0,86,2.2,2.1,101.4,91.41,0,0,75,0.5,0.4,101.1,91.55,0,0,83,1.5,0.4,105.3,92.20,0,0,79,0.5,0.5,0.0,0,0
1774877965.617,2.123,100.5,92.23,0,0,86,0.5,0.4,101.4,91.41,0,0,75,0.5,0.4,101.1,91.55,0,0,83,0.5,0.5,104.0,92.20,0,0,79,0.5,0.4,0.0,0,0
1774877966.038,2.544,100.5,92.23,0,0,85,0.5,0.5,95.2,91.41,0,0,75,0.5,0.4,97.8,91.55,0,0,83,0.6,0.4,104.0,92.20,0,0,79,0.5,0.7,0.0,0,0
1774877966.465,2.971,100.3,92.23,0,0,85,3.1,0.4,95.2,91.41,0,0,75,1.5,0.5,97.8,91.55,0,0,83,0.5,0.4,102.6,92.20,0,0,78,0.5,0.4,0.0,0,0
1774877966.886,3.392,100.3,92.23,0,0,85,0.5,0.4,94.9,91.41,0,0,74,0.5,3.8,94.0,91.55,0,0,82,3.7,2.2,102.6,92.20,0,0,78,2.1,0.5,0.0,0,0
1774877967.312,3.818,100.2,92.23,0,0,85,0.5,0.5,94.9,91.41,0,0,74,0.5,0.4,94.0,91.55,0,0,82,1.5,0.5,102.2,92.20,0,0,78,0.5,0.4,0.0,0,0
1774877967.733,4.239,100.2,92.23,0,0,85,0.5,0.5,94.9,91.41,0,0,74,1.0,0.4,93.2,91.55,0,0,82,0.5,0.4,102.2,92.20,0,0,78,0.5,0.5,0.0,0,0
1774877968.154,4.660,100.2,92.23,0,0,84,0.5,2.1,94.4,91.41,0,0,74,2.2,2.2,93.2,91.55,0,0,82,0.5,0.4,102.2,92.20,0,0,78,1.5,0.4,0.0,0,0
