timestamp,elapsed_s,gpu0_power_w,gpu0_mem_used_gb,gpu0_util_pct,gpu0_mem_bw_util_pct,gpu0_temp_c,gpu0_pcie_tx_mb_s,gpu0_pcie_rx_mb_s,gpu1_power_w,gpu1_mem_used_gb,gpu1_util_pct,gpu1_mem_bw_util_pct,gpu1_temp_c,gpu1_pcie_tx_mb_s,gpu1_pcie_rx_mb_s,gpu2_power_w,gpu2_mem_used_gb,gpu2_util_pct,gpu2_mem_bw_util_pct,gpu2_temp_c,gpu2_pcie_tx_mb_s,gpu2_pcie_rx_mb_s,gpu3_power_w,gpu3_mem_used_gb,gpu3_util_pct,gpu3_mem_bw_util_pct,gpu3_temp_c,gpu3_pcie_tx_mb_s,gpu3_pcie_rx_mb_s,kv_cache_pct,requests_running,requests_waiting
1774868314.669,0.000,111.1,92.23,0,0,86,0.5,0.5,118.2,91.41,0,0,77,0.5,0.5,107.8,91.55,0,0,85,0.5,0.4,111.2,92.20,0,0,81,0.5,0.5,0.0,0,0
1774868315.091,0.422,111.1,92.23,0,0,86,0.5,0.4,118.2,91.41,0,0,77,0.5,0.4,107.8,91.55,0,0,85,0.5,0.7,111.2,92.20,0,0,81,4.8,0.4,0.0,0,0
1774868315.515,0.846,100.7,92.23,0,0,85,0.5,0.4,102.5,91.41,0,0,76,0.5,0.5,103.6,91.55,0,0,84,0.6,0.5,107.2,92.20,0,0,80,0.5,0.5,0.0,0,0
1774868315.936,1.267,100.7,92.23,0,0,85,3.8,1.4,102.5,91.41,0,0,76,6.9,2.1,103.6,91.55,0,0,84,1.5,0.4,107.2,92.20,0,0,80,0.5,0.4,0.0,0,0
1774868316.364,1.695,100.7,92.23,0,0,85,0.5,0.5,102.5,91.41,0,0,76,0.5,0.4,103.6,91.55,0,0,84,0.5,0.5,107.2,92.20,0,0,80,0.5,0.5,0.0,0,0
1774868316.786,2.117,100.4,92.23,0,0,84,1.5,0.5,96.5,91.41,0,0,76,0.5,0.4,100.6,91.55,0,0,84,0.5,0.4,105.5,92.20,0,0,80,1.5,0.8,0.0,0,0
1774868317.209,2.540,100.4,92.23,0,0,84,1.1,0.5,96.5,91.41,0,0,76,0.5,0.5,100.6,91.55,0,0,84,0.5,0.5,105.5,92.20,0,0,80,0.5,0.5,0.0,0,0
1774868317.633,2.964,100.1,92.23,0,0,84,0.5,2.0,96.1,91.41,0,0,75,1.5,0.4,96.5,91.55,0,0,83,1.5,0.5,103.4,92.20,0,0,79,0.5,0.4,0.0,0,0
1774868318.055,3.386,100.1,92.23,0,0,84,0.5,0.5,96.1,91.41,0,0,75,0.5,0.4,96.5,91.55,0,0,83,0.5,0.4,103.4,92.20,0,0,79,0.5,0.6,0.0,0,0
1774868318.476,3.807,100.0,92.23,0,0,84,1.5,0.5,95.5,91.41,0,0,75,0.5,0.7,95.9,91.55,0,0,83,0.5,0.4,103.4,92.20,0,0,79,0.5,0.5,0.0,0,0
1774868318.897,4.228,100.0,92.23,0,0,84,0.5,0.4,95.5,91.41,0,0,75,3.8,0.8,95.9,91.55,0,0,83,3.7,2.2,103.4,92.20,0,0,79,2.2,0.5,0.0,0,0
1774868319.325,4.656,100.0,92.23,0,0,84,0.5,0.5,95.5,91.41,0,0,75,1.5,0.5,95.9,91.55,0,0,83,0.5,0.5,103.4,92.20,0,0,79,0.5,0.4,0.0,0,0
1774868319.746,5.077,99.6,92.23,0,0,83,0.5,0.4,94.8,91.41,0,0,74,2.1,0.7,94.7,91.55,0,0,83,1.5,0.5,102.8,92.20,0,0,78,0.5,0.4,0.0,0,0
1774868320.168,5.499,99.6,92.23,0,0,83,0.5,2.2,94.8,91.41,0,0,74,0.5,2.0,94.7,91.55,0,0,83,0.5,0.5,102.8,92.20,0,0,78,0.5,0.5,0.0,0,0
